id,date,user_id,user_username,user_displayname,replyCount,retweetCount,likeCount,quoteCount,viewCount,searched_keyword,cleaned_text,Sentiment,hashtag_text
1.85E+18,2024-11-05 14:23:43+00:00,2237590525,ImKnotTheOne,Charli Huxley,169,326,2788,33,158104,VoteTrump VoteKamala ElectionDay Election2024 VotedforTrump until 2025-3-31 since 2024-07-01,Because only garbage people would vote for this garbage human. Cant wait for these people to crawl back under their rocks. Make America Great Again,Negative,"Trump2024, VotedforTrump, ElectionDay"
1.85E+18,2024-10-23 15:22:44+00:00,537709549,LauraLoomer,Laura Loomer,2205,8598,47970,176,550747,VoteTrump VoteKamala ElectionDay Election2024 VotedforTrump until 2025-3-31 since 2024-07-01,JUST VOTED IN FLORIDA FOR THE GREATEST PRESIDENT EVER! DONALD J TRUMP!!!!! GET OUT AND VOTE FOR TRUMP TO SAVE AMERICA! THIS IS THE MOST IMPORTANT ELECTION OF OUR LIFETIME! MAGA!!!,Positive,"Trump2024, AmericaFirst"
1.85E+18,2024-11-05 11:34:56+00:00,2237590525,ImKnotTheOne,Charli Huxley,190,735,6803,44,346181,VoteTrump VoteKamala ElectionDay Election2024 VotedforTrump until 2025-3-31 since 2024-07-01,Vote as if your life depends on it. and FCK Donald Trump! TODAY IS THE DAY,Negative,"ElectionDay, Election2024, VotedforTrump"
1.85E+18,2024-11-05 15:39:26+00:00,47293791,w_terrence,Terrence K Williams,265,1252,6069,31,67609,VoteTrump VoteKamala ElectionDay Election2024 VotedforTrump until 2025-3-31 since 2024-07-01,TODAY IS THAT DAY Lets do this. Get up and go Vote! This is the most Important election. You cant sit this one out. Friendly Reminder Kamala had 4 years to do all the things shes promising to do! Vote for President Donald Trump!,Negative,"ElectionDay, electionday2024"
1.84E+18,2024-09-19 20:23:25+00:00,1.36E+18,kimmagagal2,Kimmie,31,243,600,8,19341,VoteTrump VoteKamala ElectionDay Election2024 VotedforTrump until 2025-3-31 since 2024-07-01,A message for Kamaaaala voters! Do you want peace? The choice is simple! Vote for Trump!,Negative,
1.85E+18,2024-10-23 19:24:53+00:00,304679484,MarkHamill,Mark Hamill,5392,9297,54902,518,1295924,VoteTrump VoteKamala ElectionDay Election2024 VotedforTrump until 2025-3-31 since 2024-07-01,We vote because we love our country. It is our patriotic duty to ensure that the most dangerous man ever to be is defeated on November 5th. There is only ONE CHOICE,Negative,"POTUS, KamalaHarris2024, No3rdParties"
1.82E+18,2024-07-28 16:42:40+00:00,1.43E+18,Sassafrass_84,Sassafrass84,95,863,2059,58,69427,VoteTrump VoteKamala ElectionDay Election2024 VotedforTrump until 2025-3-31 since 2024-07-01,Just a reminder on what kamala represents. Do you want this for America? Hell no. Vote Trump. I'm on board with the man who is team usa and not illegal invasion.,Negative,
1.85E+18,2024-10-16 18:33:33+00:00,1.36E+18,kimmagagal2,Kimmie,39,176,467,7,11299,VoteTrump VoteKamala ElectionDay Election2024 VotedforTrump until 2025-3-31 since 2024-07-01,A message for Kamaaaala voters! Suck it up buttercups!! TRUMP2024,Negative,
1.85E+18,2024-10-24 12:06:09+00:00,1.27E+18,GabiNga1,Gabi,70,290,439,9,9859,VoteTrump VoteKamala ElectionDay Election2024 VotedforTrump until 2025-3-31 since 2024-07-01,"Good Thursday Morning, Beautiful Friends GEORGIA IS TRUMP COUNTRY! I got teary looking at all those HAPPY people. They are having a blast! Y M C A Thirteen days, my friends. Im not sure about anyone else, but Ive been",Positive,
1.85E+18,2024-11-05 19:52:41+00:00,1.78E+18,Anshika_in,Anshika Singh Yadav,81,397,1504,8,31067,VoteTrump VoteKamala ElectionDay Election2024 VotedforTrump until 2025-3-31 since 2024-07-01,Swing state's tilt is completely in favor of Donald Trump Therefore it is almost certain that the next President of America will be Donald Trump Elon Musk has a very big role to play if Trump becomes president,Positive,"VoteTrump, VoteKamala, ElectionDay, Election2024, VotedforTrump"
