id,date,user_id,user_username,user_displayname,replycount,retweetcount,likecount,quotecount,viewcount,searched_keyword,cleaned_text,hashtag_text,year,month_year,sentiment
1618244414383722499,2023-01-25 20:48:28+07,1142736007567069184,SUBRATA30016572,Trump Lover,90,262,841,14,8828,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,"Today is January 24th, 2023 and Trump still my President!! Who's with me?",,2023,2023-01,Negative
1642123145644593157,2023-04-01 18:14:01+07,1142736007567069184,SUBRATA30016572,Trump Lover,71,221,958,15,15926,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,"Who's ready for the 2024 return of the greatest President in American history, Donald Trump? Trump 2024!!",,2023,2023-04,Positive
1642511104126353413,2023-04-02 19:55:38+07,1142736007567069184,SUBRATA30016572,Trump Lover,120,394,1706,28,44686,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,"Today is April 2nd, 2023 and Donald Trump still my President",,2023,2023-04,Negative
1645402101957394432,2023-04-10 19:23:25+07,1142736007567069184,SUBRATA30016572,Trump Lover,30,110,421,3,6640,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,"Today is April 10th, 2023 and Trump still my President!!",,2023,2023-04,Negative
1646323477971103744,2023-04-13 08:24:39+07,1142736007567069184,SUBRATA30016572,Trump Lover,34,89,389,9,5386,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,Whos ready for this beautiful couple to be back in the White House?,TRUMP2024ToSaveAmerica,2023,2023-04,Positive
1648285762314711040,2023-04-18 18:22:04+07,1142736007567069184,SUBRATA30016572,Trump Lover,65,165,686,8,14241,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,"Today is April 18th, 2023 and Trump still my President!!",,2023,2023-04,Negative
1679815741661655046,2023-07-14 18:30:56+07,1142736007567069184,SUBRATA30016572,Trump Lover,168,278,978,19,20226,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,"Today is July 14th,2023 and Trump still my President!! Who's with me?",,2023,2023-07,Positive
1706652806667743703,2023-09-26 19:51:51+07,1142736007567069184,SUBRATA30016572,Trump Lover,161,219,766,11,8250,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,"Today is September 26th, 2023 and Trump still my President!! Who's with me?",,2023,2023-09,Positive
1717015529922216175,2023-10-25 10:09:37+07,1287788064450936834,PU28453638,Freedom,46,175,690,6,12371,Trump2024 TrumpWon Election2024 until 2025-04-20 since 2025-01-01,Donald J. Trump Won the 2020 Election and will Win Again in 2024. 45 47,,2023,2023-10,Positive
1717720711974838423,2023-10-27 08:51:46+07,450235955,4Mischief,ISI,53,299,646,14,15877,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,"One more year of this ridiculous administration, then President Trump returns on Monday, January 20, 2025 with a vengeance and will steamroll anyone who gets in the way of Making America Great Again and putting the world at peace",Trump2024,2023,2023-10,Negative
1734193474776551735,2023-12-11 19:48:38+07,1142736007567069184,SUBRATA30016572,Trump Lover,748,458,2550,35,32763,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,"Who's ready for the 2024 return of the greatest President in American history, Donald J Trump? MAGA",,2023,2023-12,Positive
1739602992029151478,2023-12-26 18:04:08+07,1142736007567069184,SUBRATA30016572,Trump Lover,1372,552,3794,59,46802,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,"Today is December 26th, and Donald Trump still My President! Who's with me?",Trump2024,2023,2023-12,Positive
1742328394363351219,2024-01-03 06:33:54+07,4312282894,Maximus_4EVR,Ms Kng,7,96,584,3,8605,Trump2024 TrumpWon Election2024 until 2025-04-20 since 2025-01-01,"Trump winning court cases, Trump winning primaries that starts in two weeks, finally Trump and Republicans winning elections White House, Senate, and House. Did I mention Trump winning? 2024, the year of Winning Red.",,2024,2024-01,Positive
1747092346863263757,2024-01-16 10:04:09+07,1213874306515554306,AwakenedOutlaw,AwakenedOutlaw,18,36,253,5,13026,Trump2024 TrumpWon Election2024 until 2025-04-20 since 2025-01-01,"With 61 of the votes still outstanding, Trump is declared the winner. There is only",Trump2024,2024,2024-01,Negative
1749486849834295712,2024-01-23 00:39:03+07,1142736007567069184,SUBRATA30016572,Trump Lover,779,398,2943,44,38379,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,Drop a if youre committed to ensuring Donald Trump is reinaugurated one year from today!!,,2024,2024-01,Negative
