id,date,url,user_id,user_username,user_displayname,text,hashtags,lang,replyCount,retweetCount,likeCount,quoteCount,viewCount,sourceLabel,retweetedTweet_id,quotedTweet_id,searched_keyword,scraped_by_account
1752708525208588342,Wed Jan 31 15:00:50 +0000 2024,,1537291933495615488,TheThe1776,ꪻꫝể ꪻꫝể,"Trump has accomplished so much for the good of this country in his four years as President, but 👇 is another reason why Americans love him🥰.

#TrumpIsThePeoplesPresident 
#Trump2024ToTakeBackAmerica https://t.co/zslx0ggvji","['#TrumpIsThePeoplesPresident', '#Trump2024ToTakeBackAmerica']",en,28,191,398,3,7568,,,,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,-1
1787998629481087070,Wed May 08 00:11:07 +0000 2024,,2468708726,G1rly_Tattooed,✝️💖 Trin1ty 💖✝️,"All day every day, 182 days to make it official!

#Trump2024 🇺🇸 https://t.co/zpmdJts2Mg",['#Trump2024'],en,42,316,665,7,12370,,,,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,-1
1779209183948112276,Sat Apr 13 18:05:00 +0000 2024,,450235955,4Mischief,• ᗰISᑕᕼIᗴᖴ ™ •,"Dark days are coming for liberal democrats when President Trump is inaugurated on Monday January 20, 2025
#MAGAeclipse https://t.co/yPOWynrrxm",['#MAGAeclipse'],en,50,265,643,5,19983,,,,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,-1
1717720711974838423,Fri Oct 27 01:51:46 +0000 2023,,450235955,4Mischief,• ᗰISᑕᕼIᗴᖴ ™ •,"One more year of this ridiculous administration, then President Trump returns on Monday, January 20, 2025 with a vengeance and will steamroll anyone who gets in the way of Making America Great Again and putting the world at peace
#Trump2024 https://t.co/qZRswhvIf7",['#Trump2024'],en,53,302,645,14,15911,,,,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,-1
1749959082188926994,Wed Jan 24 00:55:32 +0000 2024,,885799904,ColorApril,April Color,"TRUMP,  TRUMP, TRUMP @realDonaldTrump 

 O say can you see, by the dawn’s early light,
What so proudly we hail’d at the twilight’s last gleaming,
Whose broad stripes and bright stars through the perilous fight 🇺🇸🇺🇸🇺🇸

   Let’s Go ‼️ #Trump2024TheOnlyChoice https://t.co/C2LXy0ZDZv",['#Trump2024TheOnlyChoice'],en,7,109,185,0,4692,,,,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,-1
1739602992029151478,Tue Dec 26 11:04:08 +0000 2023,,1142736007567069184,SUBRATA30016572,Trump Lover❤🇮🇳🇺🇸,"Today is December 26th, and Donald Trump still My President!❤
Who's with me?🙋‍♂️#Trump2024 https://t.co/CbkBAdamps",['#Trump2024'],en,1366,555,3793,59,46803,,,,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,-1
1747309271350710383,Tue Jan 16 17:26:08 +0000 2024,,1142736007567069184,SUBRATA30016572,Trump Lover❤🇮🇳🇺🇸,"President Donald Trump will get your vote on November 5, 2O24?

Yes or No https://t.co/dVN13caiiV",[],en,3484,1027,9421,182,117619,,,,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,-1
1648285762314711040,Tue Apr 18 11:22:04 +0000 2023,,1142736007567069184,SUBRATA30016572,Trump Lover❤🇮🇳🇺🇸,"Today is April 18th, 2023 and Trump still my President!!❤ https://t.co/VPj7EWjyNS",[],en,65,164,687,8,14241,,,,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,-1
1779840926250311900,Mon Apr 15 11:55:19 +0000 2024,,1142736007567069184,SUBRATA30016572,Trump Lover❤🇮🇳🇺🇸,"President Donald Trump will get your vote on November 5, 2O24?

Yes or No https://t.co/uNvTlG5eAR",[],en,2805,812,7095,103,99792,,,,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,-1
1795630890993008956,Wed May 29 01:39:00 +0000 2024,,1142736007567069184,SUBRATA30016572,Trump Lover❤🇮🇳🇺🇸,"Donald Trump will be 45 &amp; 47 President of the United States!

Drop a🇺🇸❤ if you agree!! https://t.co/TuX46O1HJ3",[],en,1523,835,6147,83,80433,,,,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,-1
1642511104126353413,Sun Apr 02 12:55:38 +0000 2023,,1142736007567069184,SUBRATA30016572,Trump Lover❤🇮🇳🇺🇸,"Today is April 2nd, 2023 and Donald Trump still my President https://t.co/Idg5hnbVNw",[],en,120,395,1705,28,44686,,,,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,-1
1747940908840956114,Thu Jan 18 11:16:02 +0000 2024,,1142736007567069184,SUBRATA30016572,Trump Lover❤🇮🇳🇺🇸,"Today is January 14th, and Donald Trump still My President!!
Who's with me?🙋‍♂️❤ https://t.co/wOvfOiMvrw",[],en,924,868,4241,32,42782,,,,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,-1
1679815741661655046,Fri Jul 14 11:30:56 +0000 2023,,1142736007567069184,SUBRATA30016572,Trump Lover❤🇮🇳🇺🇸,"Today is July 14th,2023 and Trump still my President!!❤
Who's with me?👍 https://t.co/OUZyblS8qz",[],en,168,278,978,19,20229,,,,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,-1
1645402101957394432,Mon Apr 10 12:23:25 +0000 2023,,1142736007567069184,SUBRATA30016572,Trump Lover❤🇮🇳🇺🇸,"Today is April 10th, 2023 and Trump still my President!!❤ https://t.co/jlnowjxG7c",[],en,30,110,422,3,6640,,,,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,-1
1706652806667743703,Tue Sep 26 12:51:51 +0000 2023,,1142736007567069184,SUBRATA30016572,Trump Lover❤🇮🇳🇺🇸,"Today is September 26th, 2023 and Trump still my President!!
Who's with me? https://t.co/jrSNord7Vp",[],en,161,219,766,11,8250,,,,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,-1
1646323477971103744,Thu Apr 13 01:24:39 +0000 2023,,1142736007567069184,SUBRATA30016572,Trump Lover❤🇮🇳🇺🇸,"Who’s ready for this beautiful couple to be back in the White House? 
#TRUMP2024ToSaveAmerica https://t.co/mKq3elMQ6s",['#TRUMP2024ToSaveAmerica'],en,34,90,388,9,5388,,,,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,-1
1749486849834295712,Mon Jan 22 17:39:03 +0000 2024,,1142736007567069184,SUBRATA30016572,Trump Lover❤🇮🇳🇺🇸,Drop a ❤ if you’re committed to ensuring Donald Trump is re-inaugurated one year from today!! https://t.co/JT2zBprDX4,[],en,779,400,2942,44,38379,,,,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,-1
1618244414383722499,Wed Jan 25 13:48:28 +0000 2023,,1142736007567069184,SUBRATA30016572,Trump Lover❤🇮🇳🇺🇸,"Today is January 24th, 2023 and Trump still my President!!

 Who's with me? https://t.co/bWtGBbEMeU",[],en,89,262,841,14,8828,,,,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,-1
1776975735023919180,Sun Apr 07 14:10:04 +0000 2024,,1142736007567069184,SUBRATA30016572,Trump Lover❤🇮🇳🇺🇸,"Will YOU join me and vote for President Donald Trump on November 5th, 2024?

YES or NO https://t.co/m6gXEm7NMl",[],en,2136,485,3893,75,46769,,,,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,-1
1801609634169438304,Fri Jun 14 13:36:23 +0000 2024,,1142736007567069184,SUBRATA30016572,Trump Lover❤🇮🇳🇺🇸,"Drop a ❤ to spread the message!

President Trump will be re-elected Nov. 5Th in a landslide!. https://t.co/dkc2eYBKqf",[],en,2001,1008,6338,89,55911,,,,TrumpIsMyPresident LoveTrump  until 2025-04-20 since  2024-12-06,-1
